AirportCode,AirportName,Average_0_15_PassengerCount,Average_121_PassengerCount,Average_16_30_PassengerCount,Average_31_45_PassengerCount,Average_46_60_PassengerCount,Average_61_90_PassengerCount,Average_91_120_PassengerCount,AverageWait,BoothsUsed,ExcludedPassengerCount,FlightCount,FlightDate,GlobalEntryPassengerCount,HourRange,LastUpdated,MaxWait,NonUsaPassengerAverageWait,NonUsaPassengerCount,NonUsaPassengerMaxWait,SiteId,TerminalName,TotalPassengerCount,UsaPassengerAverageWait,UsaPassengerCount,UsaPassengerMaxWait
LAX,Los Angeles International Airport,221,0,42,0,0,0,0,9,11,7,2,2024-11-01,53,1100 - 1200,2024-11-09 00:00:00,22,13,87,22,A278,Satellite 7,270,8,183,19
LAX,Los Angeles International Airport,240,0,61,0,0,0,0,10,11,11,1,2024-11-01,57,1300 - 1400,2024-11-09 00:00:00,25,14,115,25,A278,Satellite 7,312,7,197,25
LAX,Los Angeles International Airport,148,0,56,1,0,0,0,12,11,8,2,2024-11-01,19,1400 - 1500,2024-11-09 00:00:00,34,15,102,34,A278,Satellite 7,213,9,111,30
LAX,Los Angeles International Airport,56,0,0,0,0,0,0,5,9,2,1,2024-11-01,16,1500 - 1600,2024-11-09 00:00:00,12,4,2,5,A278,Satellite 7,58,5,56,12
LAX,Los Angeles International Airport,244,0,59,21,0,0,0,12,11,9,2,2024-11-01,65,1600 - 1700,2024-11-09 00:00:00,36,17,138,36,A278,Satellite 7,333,7,195,25
LAX,Los Angeles International Airport,264,0,190,0,0,0,0,13,10,13,4,2024-11-01,71,1700 - 1800,2024-11-09 00:00:00,29,15,152,29,A278,Satellite 7,467,13,315,29
LAX,Los Angeles International Airport,291,0,91,0,0,0,0,11,9,6,3,2024-11-01,34,1800 - 1900,2024-11-09 00:00:00,21,12,81,21,A278,Satellite 7,388,11,307,20
LAX,Los Angeles International Airport,137,0,27,0,0,0,0,8,5,4,1,2024-11-01,46,1900 - 2000,2024-11-09 00:00:00,25,14,61,25,A278,Satellite 7,168,5,107,17
LAX,Los Angeles International Airport,23,0,140,121,111,62,0,39,22,15,3,2024-11-01,34,0500 - 0600,2024-11-09 00:00:00,76,44,332,76,A273,Tom Bradley International Terminal,472,26,140,73
LAX,Los Angeles International Airport,524,0,193,283,211,21,0,25,23,42,7,2024-11-01,182,0600 - 0700,2024-11-09 00:00:00,69,40,616,69,A273,Tom Bradley International Terminal,1274,11,658,68
LAX,Los Angeles International Airport,101,0,191,114,147,460,16,51,24,30,6,2024-11-01,73,0700 - 0800,2024-11-09 00:00:00,102,63,770,102,A273,Tom Bradley International Terminal,1059,21,289,90
LAX,Los Angeles International Airport,55,0,235,9,26,200,0,42,27,16,2,2024-11-01,34,0800 - 0900,2024-11-09 00:00:00,89,63,272,89,A273,Tom Bradley International Terminal,541,22,269,79
LAX,Los Angeles International Airport,167,0,289,187,193,220,0,38,35,34,4,2024-11-01,84,0900 - 1000,2024-11-09 00:00:00,86,49,683,86,A273,Tom Bradley International Terminal,1090,20,407,85
LAX,Los Angeles International Airport,395,0,474,344,254,37,0,28,44,44,7,2024-11-01,100,1000 - 1100,2024-11-09 00:00:00,87,34,1047,87,A273,Tom Bradley International Terminal,1548,15,501,86
LAX,Los Angeles International Airport,418,0,242,91,15,0,0,16,30,25,5,2024-11-01,64,1100 - 1200,2024-11-09 00:00:00,52,19,486,51,A273,Tom Bradley International Terminal,791,12,305,52
LAX,Los Angeles International Airport,392,0,478,190,31,0,0,20,33,39,6,2024-11-01,108,1200 - 1300,2024-11-09 00:00:00,52,25,592,52,A273,Tom Bradley International Terminal,1130,14,538,45
LAX,Los Angeles International Airport,682,0,652,361,248,161,0,27,42,67,9,2024-11-01,181,1300 - 1400,2024-11-09 00:00:00,81,33,1344,81,A273,Tom Bradley International Terminal,2171,19,827,81
LAX,Los Angeles International Airport,348,0,258,379,336,112,5,33,49,50,7,2024-11-01,202,1400 - 1500,2024-11-09 00:00:00,114,43,842,114,A273,Tom Bradley International Terminal,1488,20,646,114
LAX,Los Angeles International Airport,285,0,315,671,595,317,0,39,46,64,8,2024-11-01,231,1500 - 1600,2024-11-09 00:00:00,84,50,1190,84,A273,Tom Bradley International Terminal,2247,28,1057,72
LAX,Los Angeles International Airport,318,0,345,295,435,95,0,34,43,48,6,2024-11-01,147,1600 - 1700,2024-11-09 00:00:00,83,44,873,82,A273,Tom Bradley International Terminal,1536,21,663,83
LAX,Los Angeles International Airport,255,0,431,506,391,144,0,35,43,44,7,2024-11-01,180,1700 - 1800,2024-11-09 00:00:00,79,46,881,79,A273,Tom Bradley International Terminal,1771,24,890,72
LAX,Los Angeles International Airport,331,0,434,178,138,72,3,27,27,37,6,2024-11-01,128,1800 - 1900,2024-11-09 00:00:00,96,35,661,96,A273,Tom Bradley International Terminal,1193,17,532,72
